Source,Target,Year,Weight,Keywords
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
20733806200,6603563795,2009,1,"['Colloids', 'Molecular dynamics (MD)', 'Nanoinclusions', 'Polymer brush']"
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
